ProductName,ShortDescription,FullDescription,ManufacturerId,VendorId,IsActive,ShowOnHomePage,MarkAsNew,AllowCustomerReviews,SellStartDatetimeUTC,SellEndDatetimeUTC,Sku,Price,IsDiscountAllowed,IsShippingFree,ShippingCharges,CategoriesIdsCommaSeperated,TagsIdsCommaSeperated,ShippingMethodsIdsCommaSeperated,ColorsIdsCommaSeperated,SizeIdsCommaSeperated,ImagesIdsCommaSeperated,EstimatedShippingDays,IsReturnAble,InventoryMethodId,WarehouseId,StockQuantity,IsBoundToStockQuantity,DisplayStockQuantity,OrderMinimumQuantity,OrderMaximumQuantity,MetaTitle,MetaKeywords,MetaDescription
205 Tubular Subframe,"<p>Tubular front subframe upgrade for all customers currently running a Satchell front suspension kit.</p><p>Supplied with bolts and bearing spacers.</p><p>Fully triangulated for maximum strength, and 2KG lighter than the OE subframe.</p><p>CAD drawn","<p>Tubular front subframe upgrade for all customers currently running a Satchell front suspension kit.</p><p>Supplied with bolts and bearing spacers.</p><p>Fully triangulated for maximum strength, and 2KG lighter than the OE subframe.</p><p>CAD drawn, laser cut tubes, and fully TIG welded.</p><p>The finished subframe will be supplied powder coated a dark anthracite grey.</p>",0,0,1,0,0,1,,,,0,1,0,0,,,,,,,,0,1,0,0,0,0,1,0,205 Tubular Subframe,,
205/309 rear Bilstein shock,"<p>Bilstein rear shock for the Peugeot 205 and Peugeot 309, priced each.</p>","<p>Bilstein rear shock for the Peugeot 205 and Peugeot 309, priced each.</p>",0,0,1,0,0,1,,,,0,1,0,0,,,,,,,,0,1,0,0,0,0,1,0,205/309 rear Bilstein shock,,
Fiesta ST150 camber shims,<p>Rear camber shims for the Fiesta ST150.</p><p>These shims are used for accurately adjusting the rear camber. Accurate setting up of the rear suspension will drastically improve the handling of your ST150</p><p>They are highly accurately CNC ground,"<p>Rear camber shims for the Fiesta ST150.</p><p>These shims are used for accurately adjusting the rear camber. Accurate setting up of the rear suspension will drastically improve the handling of your ST150</p><p>They are highly accurately CNC ground from laser cut steel for precision and durability (not like many plastic shims on the market!)</p><p>(NB, there are 60 minutes in one degree, so a 30 minute camber shim is 1/2 a degree etc)</p>",0,0,1,0,0,1,,,,0,1,0,0,,,,,,,,0,1,0,0,0,0,1,0,Fiesta ST150 camber shims,,
106/ Saxo Front Suspension Kit (+150mm track width),"<p><strong>CONTACT US TO BUY THIS</strong></p><p>Our front suspension kit is a fully spherical jointed setup with strengthening added where needed. It uses modified 307 hubs that will be refurbished along with new bearings. The 307 hubs supplied use ","<p><strong>CONTACT US TO BUY THIS</strong></p><p>Our front suspension kit is a fully spherical jointed setup with strengthening added where needed. It uses modified 307 hubs that will be refurbished along with new bearings. The 307 hubs supplied use BE sized drive flanges so the appropriate drive shafts will have to be sourced.<br>The kit replaces the OEM 106/Saxo strut with a coilover type strut with improved bump travel. The top mounts are mounted higher to gain suspension travel and the hubs have revised roll centre (three roll centre heights to suit application). Camber is adjustable via an eccentric camber washer, and via the inner joint on the TCA. Caster is adjustable via the compression strut.</p><p>The kit has the option of extra floor strengthening around the compression strut. Recommended for rally cars with big impacts in mind.</p><p>This is the +150mm kit (+75mm per side)</p><p>What you get:<br>Both wishbones with joints<br>Compression struts with joints<br>Wide washers (lower joint fail-safe)<br>Compression strut floor clevis<br>Strut bodies with eccentric camber adjustment<br>307 hubs with new bearings<br>Lower ball joint adapters<br>Spring platforms and locking collars<br>Spring top caps<br>2 custom C-spanners<br>Top mounts with bearing and sleeve nuts<br>Strut top stiffeners with strut brace brackets<br>Upper strut brace<br>Lower strut brace<br>Inner wing stiffening tubes and swagged gusset webs<br>CDS track rods with inner (106 S1 only) and outer spherical joints and spacers for bump steer correction<br>Strengthening plates to go the nut side of the rear clevis (footwell)<br>All required spacers, fixtures fittings and bolts</p><p>This kit has been designed with Race/Rally in mind.<br>This kit accepts 40 or 45mm inverted dampers, contact us to make a purchase and we will advise/supply springs and shock absorbers.<br>SHOCK ABSORBERS AND SPRINGS ARE NOT INCLUDED, BUT CAN BE SUPPLIED AT EXTRA COST.<br>Please note, there is no provision to run the front ARB with this set-up.</p>",0,0,1,0,0,1,,,,0,1,0,0,,,,,,,,0,1,0,0,0,0,1,0,106/ Saxo Front Suspension Kit (+150mm track width),,
106/ Saxo Front Suspension Kit (50mm track width),<p><strong>CONTACT US TO BUY THIS&nbsp;</strong></p><p>Our front suspension kit is a fully spherical jointed setup with strengthening added where needed. It uses modified 307 hubs that will be refurbished along with new bearings. The 307 hubs supplie,"<p><strong>CONTACT US TO BUY THIS&nbsp;</strong></p><p>Our front suspension kit is a fully spherical jointed setup with strengthening added where needed. It uses modified 307 hubs that will be refurbished along with new bearings. The 307 hubs supplied use BE sized drive flanges so the appropriate drive shafts will have to be sourced.<br>The kit replaces the OEM 106/Saxo strut with a coil over type strut with improved bump travel. The top mounts are mounted higher to gain suspension travel and the hubs have revised roll centre (three roll centre heights to suit application).<br>Camber is adjustable via an eccentric camber washer, and via the inner joint on the TCA. Caster is adjustable via the compression strut.&nbsp;</p><p>The kit has the option of extra floor strengthening around the compression strut. Recommended for rally cars with big impacts in mind.&nbsp;</p><p>This is the +50mm kit (+25mm per side)</p><p>What you get:<br>Both wishbones with joints<br>Compression struts with joints<br>Wide washers (lower joint fail-safe)<br>Compression strut floor clevis<br>Strut bodies with eccentric camber adjustment<br>307 hubs with new bearings<br>Lower ball joint adapters<br>Spring platforms and locking collars<br>Spring top caps<br>2 custom C-spanners<br>Top mounts with bearing and sleeve nuts<br>Strut top stiffeners with strut brace brackets<br>Upper strut brace<br>Lower strut brace<br>Inner wing stiffening tubes and swagged gusset webs<br>CDS track rods with inner (106 S1 only) and outer spherical joints and spacers for bump steer correction<br>All required spacers, fixtures fittings and bolts.&nbsp;</p><p>This kit has been designed with Race/Rally in mind.<br>This kit accepts 40 or 45mm inverted dampers, contact us to make a purchase and we will advise/supply springs and shock absorbers.<br>SHOCK ABSORBERS AND SPRINGS ARE NOT INCLUDED, BUT CAN BE SUPPLIED AT EXTRA COST.<br>Please note, there is no provision to run the front ARB with this set-up.&nbsp;</p><h2>&nbsp;</h2>",0,0,1,0,0,1,,,,0,1,0,0,,,,,,,,0,1,0,0,0,0,1,0,106/ Saxo Front Suspension Kit (50mm track width),,
106/ Saxo Front Suspension Kit (standard track width),"<p><strong>CONTACT US TO BUY THIS</strong></p><p>Our front suspension kit is a fully spherical jointed setup with strengthening added where needed. It uses modified 307 hubs that will be refurbished along with new bearings. The 307 hubs supplied use ","<p><strong>CONTACT US TO BUY THIS</strong></p><p>Our front suspension kit is a fully spherical jointed setup with strengthening added where needed. It uses modified 307 hubs that will be refurbished along with new bearings. The 307 hubs supplied use BE sized drive flanges so the appropriate drive shafts will have to be sourced.<br>The kit replaces the OEM 106/Saxo strut with a coilover type strut with improved bump travel. The top mounts are mounted higher to gain suspension travel and the hubs have revised roll centre (three roll centre heights to suit application). Camber is adjustable via an eccentric camber washer, and also via the inner joint on the TCA. Caster is adjustable via the compression strut.&nbsp;</p><p>The kit has the option of extra floor strengthening around the compression strut. Recommended for rally cars with big impacts in mind.&nbsp;</p><p>This kit is for standard track width.&nbsp;</p><p>What you get:<br>Both wishbones with joints<br>Compression struts with joints<br>Wide washers (lower joint failsafe)<br>Compression strut floor clevis<br>Strut bodies with eccentric camber adjustment<br>307 hubs with new bearings<br>Lower ball joint adaptors<br>Spring platforms and locking collars<br>Spring top caps<br>2 custom C-spanners<br>Top mounts with bearing and sleeve nuts<br>Strut top stiffeners with strut brace brackets<br>Upper strut brace<br>Lower strut brace<br>Inner wing stiffening tubes and swagged gusset webs<br>CDS track rods with inner (106 S1 only) and outer spherical joints and spacers for bump steer correction<br>All required spacers, fixtures fittings and bolts.&nbsp;</p><p>This kit has been designed with Race/Rally in mind.<br>This kit accepts 40 or 45mm inverted dampers, contact us to make a purchase and we will advise/supply springs and shock absorbers.<br>SHOCK ABSORBERS AND SPRINGS ARE NOT INCLUDED, BUT CAN BE SUPPLIED AT EXTRA COST<br>Please note, there is no provision to run the front ARB with this set-up.</p>",0,0,1,0,0,1,,,,0,1,0,0,,,,,,,,0,1,0,0,0,0,1,0,106/ Saxo Front Suspension Kit (standard track width),,
106/ Saxo lower arms,"<p>One pair of standard width 106/Saxo wishbones with joints, compression strut floor clevis, and adaptor pins to suit OE hubs.</p><p>Competition spec lower arms for use where the regulations do not allow the use of our full suspension kit, offering ","<p>One pair of standard width 106/Saxo wishbones with joints, compression strut floor clevis, and adaptor pins to suit OE hubs.</p><p>Competition spec lower arms for use where the regulations do not allow the use of our full suspension kit, offering increased strength and rigidity</p><p>These are made to order, so please allow 3-6 weeks for manufacture and delivery.</p><p>Please note, there is no provision to run the front ARB with this set-up.</p>",0,0,1,0,0,1,,,,0,1,0,0,,,,,,,,0,1,0,0,0,0,1,0,106/ Saxo lower arms,,
106/Saxo rear rocker suspension kit,"<p><strong>THIS KIT IS MADE TO ORDER, PLEASE ALLOW 4-6 WEEKS FOR MANUFACTURE</strong></p><p>The 106/Saxo rear suspension kit has been designed to bring the damper ratio back to 1:1 with the wheel rate, without the need for fabricating turrets.&nbsp; ","<p><strong>THIS KIT IS MADE TO ORDER, PLEASE ALLOW 4-6 WEEKS FOR MANUFACTURE</strong></p><p>The 106/Saxo rear suspension kit has been designed to bring the damper ratio back to 1:1 with the wheel rate, without the need for fabricating turrets.&nbsp; This allows the use of a much softer damper which is less likely to overheat.</p><p>The kit allows a massive array of aftermarket shock absorbers and spring rates with easy adjustments to ride height and droop.</p><p>We recommend retaining base model torsion bars to ensure the trailing arms are secured in place.</p><p>STUB SPACERS, BEAM, AND TRAILING ARMS ARE NOT INCLUDED.</p><p>Shocks/springs are listed as optional extras.<br><a href=""https://www.satchellengineering.co.uk/docu/pushrod.pdf"">Fitting guide here</a></p><h2>&nbsp;</h2><p>&nbsp;</p>",0,0,1,0,0,1,,,,0,1,0,0,,,,,,,,0,1,0,0,0,0,1,0,106/Saxo rear rocker suspension kit,,
106/Saxo/AX/206 Rear hub spacer kit,"<p>Maxi width rear hub spacer, comprising a pair of longer replacement pins, hard anodised alloy hub spacers, replacement hubs, and fixing bolts.</p>","<p>Maxi width rear hub spacer, comprising a pair of longer replacement pins, hard anodised alloy hub spacers, replacement hubs, and fixing bolts.</p>",0,0,1,0,0,1,,,,0,1,0,0,,,,,,,,0,1,0,0,0,0,1,0,106/Saxo/AX/206 Rear hub spacer kit,,
205 Front suspension kit- narrow track,"<p>A fully spherical jointed front suspension kit to fit the 205, with revised roll-centre and bump steer correction.</p><p>This kit has a strengthened and refurbished subframe along with re-positioned rear compression strut clevises to aid strength.","<p>A fully spherical jointed front suspension kit to fit the 205, with revised roll-centre and bump steer correction.</p><p>This kit has a strengthened and refurbished subframe along with re-positioned rear compression strut clevises to aid strength. The wishbones are fabricated from CDS tube and are designed with race and rally in mind.</p><p>We use refurbished 307 hubs along with new bearings, so does require our 40mm inverted type strut bodies to suit the 307 two bolt hub. This allows us to run a narrower track, and has the advantage of allowing camber adjustment on the strut body.</p><p>Supplied with screw on rose jointed track rod ends.</p><p>Caster and camber is adjustable.</p><p>THE FRONT SUBFRAME IS SUPPLIED ON AN EXCHANGE BASIS, or a surcharge will apply.</p><p>Please note, there is no provision to run the front ARB with this set-up.</p>",0,0,1,0,0,1,,,,0,1,0,0,,,,,,,,0,1,0,0,0,0,1,0,205 Front suspension kit- narrow track,,
